epoch,train_loss,val_loss,brake_health_mae,remaining_pad_life_mae,brake_fade_accuracy,maintenance_accuracy,learning_rate,epoch_time_sec
1,0.9999627511024475,0.5390418100357056,2.2381227016448975,2405.4169921875,0.9224,0.901,0.001,5.483278751373291
2,0.7437982259750366,0.48531196298599244,2.1767940521240234,2473.86279296875,0.9228,0.918,0.001,5.304569244384766
3,0.7136143275737763,0.4909659729003906,2.0908830165863037,2890.8125,0.9214,0.9214,0.001,5.110439777374268
4,0.7034668011188507,0.4814825553894043,2.0008740425109863,2647.1318359375,0.9208,0.9286,0.001,5.075353384017944
5,0.6912396816253662,0.4982295314788818,2.1545424461364746,2820.123046875,0.921,0.9116,0.001,5.106714725494385
6,0.6864585583209991,0.4712840774536133,2.203312397003174,2402.6640625,0.922,0.9198,0.001,5.0983946323394775
7,0.6709247489929199,0.47528585176467897,2.3735599517822266,2645.5,0.9242,0.9228,0.001,5.1228508949279785
8,0.6958935943603516,0.510932339477539,2.4518744945526123,2961.219482421875,0.9186,0.9134,0.001,5.4584641456604
9,0.6750408822059631,0.48569617252349856,2.480006456375122,2529.401611328125,0.9198,0.921,0.001,5.260198593139648
10,0.6687420876979828,0.46942254123687743,2.2165894508361816,2574.384521484375,0.9208,0.9248,0.001,5.137345552444458
11,0.679760304737091,0.4943916028022766,2.412144899368286,2851.583251953125,0.9216,0.9224,0.001,5.170401573181152
12,0.6631507881164551,0.4535998227119446,2.2241032123565674,2166.54541015625,0.9216,0.9288,0.001,5.039907932281494
13,0.6639836097240448,0.4836289321899414,2.216013193130493,2731.242919921875,0.9228,0.9208,0.001,5.1059792041778564
14,0.6674114678382873,0.4850400321960449,2.2085983753204346,2672.347900390625,0.9218,0.9136,0.001,5.282348394393921
15,0.6661442271709442,0.4647929672241211,2.2951221466064453,2379.921875,0.9218,0.925,0.001,5.092540979385376
16,0.6515956681728363,0.46852900896072386,2.3116297721862793,2611.908935546875,0.9238,0.9264,0.001,5.119852066040039
17,0.6510959148406983,0.4694784779548645,2.348393678665161,2535.637939453125,0.9226,0.9278,0.001,5.151958703994751
18,0.6557090322494507,0.46793343362808226,2.4775946140289307,2679.88720703125,0.9238,0.9276,0.0005,5.1486897468566895
19,0.632863714504242,0.4612384857177734,2.351799488067627,2720.56591796875,0.9226,0.931,0.0005,5.101184129714966
20,0.6371307666778564,0.45502025690078735,2.356098175048828,2562.919677734375,0.9228,0.9292,0.0005,5.355329990386963
21,0.6338870603084564,0.4761765294075012,2.589787006378174,2928.07080078125,0.923,0.9306,0.0005,5.13377046585083
22,0.6376823663711548,0.46408049335479734,2.375577688217163,2638.841552734375,0.9208,0.9316,0.0005,5.093194007873535
23,0.6310105637550354,0.475240859413147,2.5673556327819824,2695.229248046875,0.9208,0.9266,0.0005,5.144801378250122
24,0.623605589056015,0.4538021580696106,2.4190940856933594,2683.21826171875,0.9248,0.931,0.00025,5.1253862380981445
25,0.6206359350204468,0.45774945697784425,2.4349961280822754,2683.17529296875,0.9232,0.9298,0.00025,5.20564866065979
26,0.6294994907855987,0.4651041323661804,2.326477289199829,2708.811279296875,0.9172,0.9256,0.00025,5.168848991394043
27,0.6204479868888855,0.456226571559906,2.4867663383483887,2679.58740234375,0.9188,0.9348,0.00025,5.135580062866211
