epoch,train_loss,val_loss,brake_health_mae,remaining_pad_life_mae,brake_fade_accuracy,maintenance_accuracy,learning_rate,epoch_time_sec
1,0.6692732608795166,0.295970051240921,2.1454455852508545,2160.099365234375,0.9705,0.9375,0.001,10.525678634643555
2,0.4759449968934059,0.2979025817871094,2.49428391456604,2505.54345703125,0.9681,0.9545,0.001,10.191579341888428
3,0.436693542098999,0.2990203866004944,2.660069227218628,2486.35302734375,0.9716,0.9487,0.001,10.396535158157349
4,0.4162982024550438,0.2917776543855667,2.798737049102783,2684.479736328125,0.976,0.9594,0.001,10.192129373550415
5,0.39551317393779756,0.2572958248138428,2.534785509109497,1987.62939453125,0.9809,0.9544,0.001,10.422128200531006
6,0.3821132069706917,0.27620173649787905,2.6034352779388428,2486.251708984375,0.9753,0.9576,0.001,10.44098687171936
7,0.3738065669298172,0.24851315438747407,2.465944766998291,2146.9111328125,0.9801,0.9645,0.001,10.307409524917603
8,0.361860149037838,0.2582409504413605,2.2918789386749268,2074.351318359375,0.9721,0.961,0.001,10.447345972061157
9,0.3532245033740997,0.24908362436294557,2.4419503211975098,1763.4300537109375,0.9696,0.9565,0.001,10.39753270149231
10,0.3487738885402679,0.25981495547294614,2.332324266433716,2196.3427734375,0.9767,0.9577,0.001,10.284285068511963
11,0.34352153284549714,0.2486741045475006,2.285491466522217,1969.879150390625,0.974,0.9617,0.001,10.377267599105835
12,0.3368786017775536,0.23065190327167512,2.1620795726776123,1912.093994140625,0.9735,0.9602,0.001,10.314549207687378
13,0.33197250137329104,0.2571455219268799,2.6479885578155518,2294.9619140625,0.9782,0.9654,0.001,10.21809720993042
14,0.32762064081430436,0.23048756113052368,2.2246694564819336,1770.0528564453125,0.9759,0.9602,0.001,12.810023546218872
15,0.3271635699033737,0.24342304105758666,2.4793827533721924,1946.4886474609375,0.975,0.9702,0.001,16.862266063690186
16,0.3198012675881386,0.23383678271770478,2.1973085403442383,2183.144775390625,0.9776,0.9593,0.001,15.784893274307251
17,0.31610338373184205,0.2171867958545685,2.020134925842285,1805.2572021484375,0.9764,0.963,0.001,10.473507642745972
18,0.3152733890116215,0.23177042512893678,2.0421152114868164,1888.260986328125,0.97,0.9663,0.001,10.155768156051636
19,0.3110049107372761,0.21466346645355225,2.138629198074341,1936.666748046875,0.9819,0.9627,0.001,10.519527196884155
20,0.3087959487438202,0.20789468455314636,2.013685464859009,1727.0538330078125,0.9786,0.9713,0.001,10.248068571090698
21,0.3096295961380005,0.21878547263145448,2.1690828800201416,1745.3236083984375,0.9712,0.9686,0.001,10.423159122467041
22,0.3112851921081543,0.23529727392196656,2.208671808242798,2014.70654296875,0.9671,0.9588,0.001,10.309328556060791
23,0.3068932111620903,0.21627805099487304,2.003627061843872,1946.284423828125,0.9794,0.9568,0.001,10.217880249023438
24,0.3009860570549965,0.20458454520702363,1.803120493888855,1813.5284423828125,0.9779,0.9654,0.001,14.371511459350586
25,0.29500362544059755,0.20919963235855102,1.9820945262908936,1832.8583984375,0.9736,0.9665,0.001,16.197305917739868
26,0.29620557967424394,0.2004694656610489,1.9426826238632202,1757.3909912109375,0.981,0.9669,0.001,16.512309551239014
