epoch,train_loss,train_acc,val_loss,val_acc,lr,backbone_frozen
1,0.3159504928839496,0.8591644204851752,0.27489067630101277,0.8817204301075269,0.001,True
2,0.2161236741150807,0.9110512129380054,0.27017762295661435,0.8763440860215054,0.001,True
3,0.17259572819879435,0.9299191374663073,0.224498295495587,0.9193548387096774,0.001,True
4,0.1653032494041155,0.9366576819407008,0.2340861690300767,0.9032258064516129,0.001,True
5,0.1179971929509042,0.9487870619946092,0.1922849496846558,0.9354838709677419,0.001,True
6,0.0872572612248341,0.9649595687331537,0.17388179289397374,0.9354838709677419,1e-05,False
7,0.08174579401784188,0.9716981132075472,0.15980334435739824,0.946236559139785,1e-05,False
8,0.08417312736997025,0.9683288409703504,0.1474766311466053,0.946236559139785,1e-05,False
9,0.06891093854955586,0.9797843665768194,0.15636436641216278,0.9516129032258065,1e-05,False
10,0.05602809486564279,0.9811320754716981,0.14322933634763124,0.9516129032258065,1e-05,False
11,0.04466700863163426,0.9858490566037735,0.1412834927279462,0.9516129032258065,1e-05,False
12,0.03758340813169341,0.9865229110512129,0.133207346643171,0.9516129032258065,1e-05,False
13,0.04832584311497822,0.9838274932614556,0.1402191965169804,0.9623655913978495,1e-05,False
14,0.034056804421536045,0.9892183288409704,0.13649068228019182,0.956989247311828,1e-05,False
15,0.02309617218423404,0.9946091644204852,0.1363163785908812,0.956989247311828,1e-05,False
16,0.02756922604701911,0.9905660377358491,0.13717303929790373,0.9623655913978495,5e-06,False
17,0.028420346806634147,0.9912398921832885,0.13655724656838242,0.956989247311828,5e-06,False
18,0.024011470304646423,0.9959568733153639,0.12994888921578726,0.956989247311828,5e-06,False
19,0.017502315252055377,0.9973045822102425,0.1280231438977744,0.956989247311828,5e-06,False
20,0.0202456275085891,0.9932614555256065,0.12648660457262428,0.956989247311828,5e-06,False
21,0.013348743987252127,0.9966307277628033,0.1260771882790391,0.956989247311828,5e-06,False
22,0.011642536652999908,0.9973045822102425,0.1240069703549467,0.9516129032258065,5e-06,False
23,0.007196495121199326,1.0,0.12177565413457091,0.9516129032258065,5e-06,False
